,book_authors,book_desc,book_rating,book_title,genres,tag_1,tag_2,tag_3
10537,Elizabeth  George,"After the senseless murder of his wife, Detective Superintendent Thomas Lynley retreated to Cornwall, where he has spent six solitary weeks hiking the bleak and rugged coastline. But no matter how far he walks, no matter how exhausting his days, the painful memories of Helen's death do not diminish.On the forty-third day of his walk, at the base of a cliff, Lynley discovers the body of a young man who appears to have fallen to his death. The closest town, better known for its tourists and its surfing than its intrigue, seems an unlikely place for murder. However, it soon becomes apparent that a clever killer is indeed at work, and this time Lynley is not a detective but a witness and possibly a suspect.The head of the vastly understaffed local police department needs Lynley's help, though, especially when it comes to the mysterious, secretive woman whose cottage lies not far from where the body was discovered. But can Lynley let go of the past long enough to solve a most devious and carefully planned crime?",3.89,Careless in Red,Mystery,Mystery,Romance,Sci-fi
10545,Carolyn Keene,"Nancy, Bess and George visit New Orleans for Mardi Gras. While on vacation for the festivities, the three friends become involved with pirates, ghosts, and investigating an old showboat, rumored to be haunted, that must be restored in time for the gala celebrations. This book is the original text. A revised text does not exist.",3.88,The Haunted Showboat,Mystery,Mystery,Fantasy,Romance
10556,James Patterson|Peter de Jonge,"Tom Dunleavy has a one-man law firm in America's wealthiest resort town: legendary East Hampton. But his job barely keeps him in paper clips. His clients make a living serving the rich. The billionaires and celebrities swarming the beaches already have lawyers on their payroll.Very ExpensiveThen a friend of Tom's is arrested for a triple murder near a movie star's mansion. Tom knows in his gut that Dante Halleyville is innocent. Dante asks him to represent him in what could be the Trial of the Century.Very ExclusiveTom recruits Manhattan superlawyer Kate Costello to help. She's a tough hire, because Kate is his ex-girlfriend, but she agrees. In their search to find who really executed three locals, Tom orchestrates a series of revelations to expose the killer, and what emerges is staggering.Very ExplosiveThe final scenes of this audiobook unveil a truth that will leave readers gasping in shock. Written with the precision that has made James Patterson ""a master of his genre"" (USA Today), Beach Road is his wildest, most thrilling novel ever.",3.81,Beach Road,Mystery,Mystery,Romance,Sci-fi
10563,Ian Rankin,"Inspector John Rebus has messed up badly this time, so badly that he's been sent to a kind of reform school for damaged cops. While there among the last-chancers known as ""resurrection men,"" he joins a covert mission to gain evidence of a drug heist orchestrated by three of his classmates. But the group has been assigned an unsolved murder that may have resulted from Rebus's own mistake. Now Rebus can't determine if he's been set up for a fall or if his disgraced classmates are as ruthless as he suspects. When Detective Sergeant Siobhan Clarke discovers that her investigation of an art dealer's murder is tied to Rebus's inquiry, the two—protègè and mentor—join forces. Soon they find themselves in the midst of an even bigger scandal than they had imagined-a plot with conspirators in every corner of Scotland and deadly implications about their colleagues. With the brilliant eye for character and place that earned him the name ""the Dickens of Edinburgh,"" Ian Rankin delivers a page-turning novel of intricate suspense.",4.03,Resurrection Men,Mystery,Mystery,Romance,Sci-fi
10571,J.D. Robb|Nora Roberts,"At the luxurious Roarke Palace Hotel, a maid walks into suite 4602 for the nightly turndown - and steps into her worst nightmare. A killer leaves her dead, strangled by a thin silver wire. He's Sly Yost, a virtuoso of music and murder. A hit man for the elite. Lieutenant Eve Dallas knows him well. But in this twisted case, knowing the killer doesn't help solve the crime. Because there's someone else involved. Someone with a more personal motive. And Eve must face a terrifying possibility - that the real target may, in fact, be her husband Roarke...",4.32,Betrayal in Death,Mystery,Romance,Sci-fi,Mistery
10575,Patrick Carman,"A breakthrough new series from bestselling author Patrick Carman, featuring text and technology in an innovative new way.Strange things are happening in Skeleton Creek... and Ryan and Sarah are trying to get to the heart of it. But after an eerie accident leaves Ryan housebound and forbidden to see Sarah, their investigation takes two tracks: Ryan records everything in his journal, while Sarah uses her videocam to search things out... and then email the clips for Ryan to see. In a new, groundbreaking format, the story is broken into two parts — Ryan's text in the book, and Sarah's videos on a special website, with links and passwords given throughout the book.",4.07,Skeleton Creek,Mystery,Science Fiction,Romance,Mistery
10579,Lisa Lutz,"At the ripe old age of thirty-two, former wild child Isabel ""Izzy"" Spellman has finally agreed to take over the family business. And the transition won't be a smooth one. First among her priorities as head of Spellman Investigations is to dig up some dirt on the competition, slippery ex-cop Rick Harkey--a task she may enjoy a little too much. Next, faced with a baffling missing-persons case at the home of an aging millionaire, Izzy hires an actor friend, Len, to infiltrate the mansion as an undercover butler--a role he may enjoy a little much. Meanwhile, Izzy is being blackmailed by her mother (photographic evidence of Prom Night 1994) to commit to regular blind dates with promising professionals--an arrangement that doesn't thrill Connor, an Irish bartender on the brink of becoming Ex-boyfriend #12.At Spellman headquarters, it's business as unusual. Doorknobs and light fixtures are disappearing every day, Mom's been spotted crying in the pantry, and a series of increasingly demanding Spellman Rules (Rule #27: No Speaking Today) can't quite hold the family together. Izzy also has to decipher weekly ""phone calls from the edge"" from her octogenarian lawyer, Morty, as well as Detective Henry Stone's mysterious interest in rekindling their relationsh...well, whatever it was. Just when it looks like things can't go more haywire, little sister Rae's internship researching pro bono legal cases leads the youngest Spellman to launch a grassroots campaign that could spring an innocent man from jail--or land Rae in it. The Spellmans Strike Again is hands down the most hilarious, thrilling, and moving book in this bestselling, award-nominated series. And it proves beyond a reasonable doubt that Isabel Spellman, no matter how much she matures, will never be able to follow Rule #1: Act Normal.",4.2,The Spellmans Strike Again,Mystery,Mystery,Romance,Fantasy
10599,P.D. James,"When the quiet Little Vestry of St. Matthew's Church becomes the blood-soaked scene of a double murder, Scotland Yard Commander Adam Dalgliesh faces an intriguing conundrum: How did an upper-crust Minister come to lie, slit throat to slit throat, next to a neighborhood derelict of the lowest order? Challenged with the investigation of a crime that appears to have endless motives, Dalgliesh explores the sinister web spun around a half-burnt diary and a violet-eyed widow who is pregnant and full of malice--all the while hoping to fill the gap of logic that joined these two disparate men in bright red death. . . .",4.02,A Taste for Death,Mystery,Mystery,Romance,Sci-fi
10605,Lilian Jackson Braun,"Jim Qwilleran is a prizewinning reporter who's been on the skids but is now coming back with a job as feature writer (mostly on the art scene) for the Daily Fluxion. George Bonifield Mountclemens, the paper's credentialed art critic, writes almost invariably scathing, hurtful reviews of local shows; delivers his pieces by messenger; lives with his all-knowing cat Koko in a lushly furnished house in a moldering neighborhood, and has a raft of enemies all over town.He offers the newcomer a tiny apartment in his building at a nominal rent, and Qwilleran grabs it, surmising the deal will involve lots of cat-sitting. Meanwhile, a gallery whose artists get happier treatment from Mountclemens is owned by Earl Lambreth. The acerbic critic has praised paintings there by a reclusive Italian named Scrano; the junk assemblages of Nino, who calls himself a ``Thingist,'' as well as works by Lambreth's attractive wife Zoe.It's Zoe who, one night past closing, finds her husband stabbed to death in the vandalized gallery. Days later, Qwilleran, guided by an insistent Koko, finds Mountclemens's knifed corpse on the patio behind his house.",3.85,The Cat Who Could Read Backwards,Mystery,Mystery,Romance,Fantasy
10609,Carolyn Keene,"A rare and valuable Chinese vase is stolen from a pottery shop and Dick Milton, the owner, asks Nancy for help. The young sleuth is tasked to find the thief, the missing ornament and to locate a leaning chimney. This chimney marks a discovery that will solve Dick’s financial problems. During her investigations, Nancy finds the leaning chimney, but it only leads her into more puzzles. Are there connections between the theft of the rare vase, a number of similar crimes and the strange disappearance of a Chinese pottery expert and his daughter? This book is the revised text. The plot of the original story (©1949) is similar with minor revisions.",3.89,The Clue of the Leaning Chimney,Mystery,Mystery,Romance,Fantasy
10610,Carolyn Keene|Mildred Benson,"CHALLENGING questions confront Nancy Drew when she attempts to solve the mystery of the strange tapping sounds in the house of a retired actress. Who is the tapper? How does he gain access to Miss Carter's house, despite securely locked doors and windows? Why do the tapping sounds come in Morse code? Is there a sinister motive behind the prowler's actions? While trying to learn the answers to these and other puzzling questions, Nancy finds her investigations complicated by the dishonest administrator of a will and by a thief who steals the actress's prize Persian cats.How Nancy communicates with the ghostlike intruder by tap dancing in code, how she outwits three criminals wanted by the police, and how she brings happiness to Miss Carter in a romantic reunion with the actress's former leading man will thrill the lively young detective's host of fans.",3.86,The Clue of the Tapping Heels,Mystery,Mystery,Romance,Fantasy
10627,Agatha Christie|Hugh Fraser,"First published in book form in 1947, The Labours of Hercules comprises an even dozen mysteries starring Christie's most popular sleuth, the ever-dignified Hercule Poirot. The introductory chapter of the collection sets up the rest of the book. At a dinner party, another guest compares the labors of Poirot to those of Hercules, and the little Belgian is not amused. He has already decided to retire, but makes up his mind to take on 12 great cases - each somehow reflecting the labors accomplished by Hercules - as a farewell to crime solving. All of the cases are quite different from each other, from searching for a lost poet to hunting down a particularly ferocious murderer, from solving mysterious deaths of religious cult members to saving a young would-be politician from potential blackmailers. Frequent Christie interpreter Hugh Fraser brings stories like The Cretan Bull and The Apples of the Hesperides to dazzling life.",3.79,The Labours of Hercules,Mystery,Mystery,Romance,Fantasy
10634,Lisa Lutz,"YOU THOUGHT YOUR LIFE WAS COMPLICATEDPrivate investigator Isabel Spellman is back on the case and back on the couch -- in court-ordered therapy after getting a little too close to her previous subject.As the book opens, Izzy is on hiatus from Spellman Inc. But when her boss, Milo, simultaneously cuts her bartending hours and introduces her to a ""friend"" looking for a private eye, Izzy reluctantly finds herself with a new client. She assures herself that the case -- a suspicious husband who wants his wife tailed -- will be short and sweet, and will involve nothing more than the most boring of PI rituals: surveillance. But with each passing hour, Izzy finds herself with more questions than hard evidence.Meanwhile, Spellmania continues. Izzy's brother, David, the family's most upright member, has adopted an uncharacteristically unkempt appearance and attitude toward work, life, and Izzy. And their wayward youngest sister, Rae, a historic academic underachiever, aces the PSATs and subsequently offends her study partner and object of obsession, Detective Henry Stone, to the point of excommunication. The only unsurprising behavior comes from her parents, whose visits to Milo's bar amount to thinly veiled surveillance and artful attempts (read: blackmail) at getting Izzy to return to the Spellman Inc. fold.As the case of the wayward wife continues to vex her, Izzy's personal life -- and mental health -- seem to be disintegrating. Facing a housing crisis, she can't sleep, she can't remember where she parked her car, and, despite her shrinks' persistence, she can't seem to break through in her appointments. She certainly can't explain why she forgets dates with her lawyer's grandson, or fails to interpret the come-ons issued in an Irish brogue by Milo's new bartender. Nor can she explain exactly how she feels about Detective Henry Stone and his plans to move in with his new Assistant DA girlfriend...Filled with the signature side-splitting Spellman antics, Revenge of the Spellmans is an ingenious, hilarious, and disarmingly tender installment in the Spellman series.",4.13,Revenge of the Spellmans,Mystery,Romance,Mistery,Fantasy
10638,Charlaine Harris,"Welcome back to the sleepy little town of Shakespeare, Arkansas, where secrets come to hide.Cleaning woman and karate expert Lily Bard is a woman with a complicated past. Trying her best to cope with her terrifying memories and horrible nightmares, she decides to join a weekly group therapy session in her hometown of Shakespeare, Arkansas. At first, Lily can hardly believe the number of her fellow Shakespeareans that share her life experiences.As it turns out, the group members' feelings aren't the only things that need sorting out -- they assemble for a session and find a woman dead, killed in bone-chilling fashion and deliberately left on display to send a twisted message. Who would commit such horrendous crime, and who is the intended recipient of the message?Before long, Lily becomes embroiled in this disturbing murder and its aftermath, one in which the brutal killer's motives are entirely unclear. The truth is, the situation has dredged up more than a few of her own terrible secrets, and she may not be able to rest until she can untangle the who and why of this terrible crime. But can she accomplish this before the killer strikes again, and before her nightmares send her over the edge?  ",3.9,Shakespeare's Counselor,Mystery,Mystery,Romance,Sci-fi
10640,Barbara Vine,The bestselling author of King Solomon's Carpet presents a tour de force of psychological suspense involving the malevolent consequences of a 75-year old murder. Vine is the recipient of three Edgars and four Gold Dagger Awards.,4.0,Anna's Book,Mystery,Mystery,Fantasy,Sci-fi
10650,J.D. Robb,"Even in an age of cutting-edge technology, old beliefs die hard...Conducting a top secret investigation into the death of a fellow police officer has Lieutenant Eve Dallas treading on dangerous ground. She must put professional ethics before personal loyalties. But when a dead body is placed outside her home, Eve takes the warning personally. With her husband, Roarke, watching her every move, Eve is drawn into the most dangerous case of her career. Every step she takes makes her question her own beliefs of right and wrong - and brings her closer to a confrontation with humanity's most seductive form of evil...",4.27,Ceremony in Death,Mystery,Science Fiction,Mistery,Romance
10655,Carolyn Keene,"Lovely young Carla Ponce, a resident of Peru, invites Nancy, Bess and George to visit her and solve a mystery that promises to lead to a fabulous treasure. A clue is carved on an intriguing wooden plaque belonging to Carla’s family. When a notorious gang headed by El Gato steals the priceless relic, Nancy quickly recovers the old plaque. Through clever deductions, perseverance, and dangerous adventures, Nancy and her friends help to capture a ring of vicious smugglers and make an astounding archaeological discovery. This book is the original text. A revised text does not exist.",3.94,The Clue in the Crossword Cipher,Mystery,Mystery,Romance,Fantasy
10662,J.D. Robb,"Streetwise cop Eve Dallas and her trusty sidekick Peabody face a methodical killer in this latest addition to the In Death series by J.D. Robb, better known as the bestselling author Nora Roberts. In the late 21st century, on the streets of New York City, a street sleeper is found murdered, his diseased heart removed with surgical precision. His death would typically drop to the bottom of a list of senseless and inexplicable killings, but Lieutenant Dallas, who ""would stand for the dead and the living,"" is not about to let that happen. When her research uncovers similar crimes in several cities that were dropped under mysterious circumstances, Dallas knows she's facing a killer cruel enough to prey on the weakest in society and powerful enough to conspire an extensive coverup. To complicate matters further, Dallas faces an equally troubling threat to her career when she's linked to the death of a fellow cop. Now she must fight to restore her good name as well as track down the killer. In Conspiracy in Death, Roberts creates a futuristic world of evil that Eve Dallas negotiates through tough talk and brute force. While Robb crafts the crimes with great care, she assumes a familiarity with the characters that new readers will lack. But fans of the In Death series and newcomers alike will enjoy the thrill of the chase as Eve Dallas sets out to get her man.",4.36,Conspiracy in Death,Mystery,Science Fiction,Romance,Mistery
10673,Stuart Woods,"The second novel in the thrilling Stone Barrington Series by #1 New York Times Bestselling author Stuart Woods""Blackmail, murder, suspense, love—what else could you want in a book?"" –CosmopolitanFeared and loathed for her poison pen and ice queen persona, Amanda Dart has made her share of enemies. Then the tables are turned. An anonymous gossipmonger is faxing Amanda's personal and private peccadilloes to anyone who can read. Desperate to save her reputation, she enlists the help of New York lawyer and private investigator Stone Barrington to learn the identity of the faxer. And everyone in the world of tabloid journalism becomes a suspect.But the faxes don't stop. In fact, they get worse. And Stone winds up with more leads than one man can handle, until Amanda takes matters dangerously into her own hands and turns the world of gossip on its head. As the circle of suspects shrinks, Stone discovers that even the most respected members of the social scene will stop at nothing—even homicide—to clear their sullied names.",3.87,Dirt,Mystery,Romance,Mistery,Sci-fi
10680,James Patterson,"Detective Alex Cross is on his way to resign from the Washington, D.C., Police Force when his partner shows up at his door with a case he can't refuse. One of John Sampson's oldest friends, from their days in Vietnam, has been arrested for murder. Worse yet, he is subject to the iron hand of the United States Army. The evidence against him is strong enough to send him to the gas chamber but Sampson is certain his friend has been framed.Drawing on their years of street training and an almost telepathic mutual trust, Cross and Sampson go deep behind military lines to confront the most terrifying-and deadly-killers they have ever encountered.On his visits home, Alex must confront another, more harrowing mystery: what's the matter with Nana Mama?",3.99,Four Blind Mice,Mystery,Mystery,Sci-fi,Romance
10682,Julia Spencer-Fleming,"One horrible murder. Two people destined for love or tragedy. Emotions explode in the novel Julia Spencer-Fleming's readers have been clamoring for. Police Chief Russ Van Alstyne's first encounter with Clare Fergusson was in the hospital emergency room on a freezing December night. A newborn infant had been abandoned on the town's Episcopal church steps. If Russ had known that the church had a new priest, he certainly would never have guessed that it would be a woman. Not a woman like Clare. That night in the hospital was the beginning of an attraction so fierce, so forbidden, that the only thing that could keep them safe from compromising their every belief was distance---but in a small town like Millers Kill, distance is hard to find.Russ Van Alstyne figures his wife kicking him out of their house is nobody's business but his own. Until a neighbor pays a friendly visit to Linda Van Alstyne ­and finds the woman's body, gruesomely butchered, on the kitchen floor. To the state police, it's an open-and-shut case of a disaffected husband, silencing first his wife, then the murder investigation he controls. To the townspeople, it's proof that the whispered gossip about the police chief and the priest was true. To the powers-that-be in the church hierarchy, it's a chance to control their wayward cleric once and for all. Obsession. Lies. Nothing is as it seems in Millers Kill, where betrayal twists old friendships and evil waits inside quaint white clapboard farmhouses.",4.12,All Mortal Flesh,Mystery,Romance,Mistery,Fantasy
10683,Agatha Christie,"A classic Hercule Poirot investigation, Agatha Christie’s Elephants Can Remember has the expert detective delving into an unsolved crime from the past involving the strange death of a husband and wife.Hercule Poirot stood on the clifftop. Here, many years earlier, there had been a fatal accident followed by the grisly discovery of two bodies—a husband and wife who had been shot dead.But who had killed whom? Was it a suicide pact? A crime of passion? Or cold-blooded murder? Poirot delves into the past and discovers that “old sins leave long shadows.”",3.63,Elephants Can Remember,Mystery,Mystery,Romance,Fantasy
10708,James Patterson,"In Boston, a young woman finds herself pregnant--even though she is still a virgin.In Ireland, another young woman discovers she is in the same impossible condition.And in cities all around the world, medical authorities are overwhelmed by epidemics, droughts, famines, floods, and worse. It all feels like a sign that something awful is coming.Anne Fitzgerald, a former nun turned private investigator, is hired by the Archdiocese of Boston to investigate the immaculate conceptions. Even as she comes to care about and trust the young women, she realizes that both are in great danger. Terrifying forces of light and darkness are gathering. Stepping into uncharted territory where the unknown is just the beginning, Anne must discover the truth--to save the young women, to save herself, and to protect the future of all mankind.",3.87,Cradle and All,Mystery,Mystery,Fantasy,Sci-fi
10714,Robert B. Parker,"Appie Knoll is the kind of suburb where kids grow up right. But something is wrong. Fourteen-year-old Kevin Bartlett disappears. Everyone thinks he's run away -- until the comic strip ransom note arrives.  It doesn't take Spenser long to get the picture -- an affluent family seething with rage, a desperate boy making strange friends...friends like Vic Harroway, body builder. Mr. Muscle is Spenser's only lead and he isn't talking...except with his fists. But when push comes to shove, when a boy's life is on the line, Spenser can speak that language too.",3.93,God Save The Child,Mystery,Mystery,Romance,Fantasy
10719,J.D. Robb,"Lieutenant Eve Dallas is no party girl, but she's managing to have a good time at the celebrity-packed bash celebrating 'The Icove Agenda', a film based on one of her cases. What comes as a surprise however is seeing the actress who plays Peabody drowned in the pool on the roof of the director's luxury building.",4.3,Celebrity in Death,Mystery,Mystery,Romance,Fantasy
10752,Kathy-Diane Leveille,"Filled with quirky, heartwarming characters, this novel is a late coming-of-age story shaped by the eternal redeeming power of female friendship. Brannagh Maloney returns to her hometown for a reunion of old friends, carrying the burden of thinking she has lost her lover, Nikolai Mirsky. Once there, she finds it hard to ignore old family secrets, and decides to visit the house where she was raised and treated cruelly by her grandfather. Brannagh forces the old man to tell her what happened to her mother, and the shocking truth finally sets her free as she understands why her grandfather had acted so harshly. When Nikolai turns up unexpectedly, Brannagh's life takes another turn as her mysterious past deepens.",3.72,Let the Shadows Fall Behind You,Mystery,Mystery,Romance,Fantasy
10772,Thomas Perry|Carl Hiaasen,"The much-loved comic thriller by the author of the Edgar Award-winning The Butcher's Boy is now, by popular demand, back in print, featuring a new Introduction by bestselling author Carl Hiaasen.When Leroy ""Chinese"" Gordon breaks into a professor's lab at the University of Los Angeles, he's after some pharmaceutical cocaine, worth plenty of money. Instead, he finds the papers the professor has compiled for the CIA, which include a blueprint for throwing a large city into chaos. But how is the CIA to be persuaded to pay a suitable ransom, unless of course someone actually uses the plan to throw a large city into chaos—Los Angeles, for instance? Assigned to cope with the crisis and restore the peace, veteran agent Ben Porterfield steps onto the scene to remind us that the CIA's middle name is, after all, Intelligence. Enlivening the mix are Gordon's beautiful girlfriend, Margaret, his temperamental cat, Dr. Henry Metzger, and Metzger's friend, an enormous half-wild dog with huge teeth.",3.95,Metzger's Dog,Mystery,Science Fiction,Romance,Mistery
10787,Jennifer Stanley,"WELCOME TO THE HOPE STREET CHURCH…where good folks study The Good Book, but everyone loves a good mystery!Cooper Lee can repair a copy machine—but can she repair her life? That’s one of the many Big Questions that lead this newly single Richmond girl to Sunrise Bible Study at the Hope Street Church. Cooper hasn’t attended church in ages, but after getting dumped by her long-time boyfriend—and moving in with her family—she could use some new friends, and a new outlook on life. Happily, the members of the Bible group are anything but cookie-cutter, which suits Cooper just fine. There’s a blind folk artist, a playboy meteorologist, an investment banker with a sweet tooth, an ambitious realtor, and a cute shy web designer who just might be “the one” for Cooper. But the member of Hope Street Church who invited Cooper to join this motley crew—an office worker who got her wedding ring stuck in a copier—is something else altogether: She’s dead And her husband is suspected of murder!The Sunrise gang jumps into action, vowing to solve this unholy mess—with God’s guidance—and Cooper’s snooping…Includes heavenly recipes from Mrs. Lee’s kitchen!",3.67,Stirring Up Strife,Mystery,Romance,Mistery,Fantasy
10791,Phyllis A. Whitney,"When Camilla King's grandfather leaves her the family estate in his will, she is shocked. Before her summons to his deathbed, she had never met any of her late mother's relatives. Although the rest of the family clearly does not want her there, Camilla honors her grandfather's wish and becomes the mistress of the magnificent Thunder Heights.But along with the grand house, Camilla has inherited a legacy of hatred and secrets. Not knowing who, if anyone, she can trust, Camilla searches for the truth about her mother's death. Soon she begins to suspect that it was no accident, but rather murder.",3.83,Thunder Heights,Mystery,Mystery,Romance,Fantasy
10826,Faye Kellerman,"Detective Peter Decker of the LAPD is stunned when he gets the report.Someone has shattered the sanctuary of a remote yeshiva community in the California hills with an unimaginable crime. One of the women was brutally raped as she returned from the mikvah, the bathhouse where the cleansing ritual is performed.The crime was called in by Rina Lazarus, and Decker is relieved to discover that she is a calm and intelligent witness. She is also the only one in the sheltered community willing to speak of this unspeakable violation. As Rina tries to steer Decker through the maze of religious laws, the two grow closer. But before they get to the bottom of the horrendous crime, revelations come to light that are so shocking that they threaten to come between the hard-nosed cop and the deeply religious woman with whom he has become irrevocably linked.",3.94,The Ritual Bath,Mystery,Mystery,Romance,Fantasy
10868,Beth Groundwater,"The Arkansas River is the heart and soul of Salida, Colorado. It fuels the small town's economy and thrums in the blood of twenty-seven-year-old Mandy Tanner, a river ranger. When a whitewater rafting accident occurs, she deftly executes a rescue, but a man dies anyway. But it wasn't the river rapids that killed him, it was poison. Tom King was a rich land developer with bitter business rivals, who cheated on his wife, refused to support his kayak-obsessed son, and infuriated environmentalists. Mandy cooperates with the local sheriff's department to solve the murder. But little does she know how greatly the case will affect those she loves, including her beloved Uncle Bill—the respected owner of an outfitting business, out of whose raft Tom King fell. She goes on an emotionally turbulent quest for the truth—and ends up in dangerous waters.",3.4,Deadly Currents,Mystery,Mystery,Romance,Fantasy
10892,Jamie Christian Desplaces,"Dark and brooding, dutch is the story of Zak and Daniel, two brothers whose troubled childhood has plunged them into a life of addiction and psychological trauma. Against the advice of their kind therapist, they flee to Hong Kong where they embark upon a drug and alcohol-fueled rampage. The journey is heart-breaking, shocking and uncomfortably funny, culminating in a bitter-sweet climax that sees the brothers finally come to terms with the horrors that befell their youth.""Poetic, honest, intense, and brilliantly written"" - Readers' Favorite""An unrelenting narrative thrust makes the beauty and ugliness of what follows intensely engaging"" - IndieReader",4.07,Dutch,Mystery,Mystery,Fantasy,Romance
10930,Kyra Davis,"Sophie Katz has just offered a man $12,000 for his services… Is she desperate or just meshugeneh? Considering the kind of disasters that usually befall the half-black, half-Jewish mystery writer, probably both. Because the last time Sophie saw sexy P.I. Anatoly Darinsky, he practically danced a jig when she waved goodbye�a normal reaction for a man who'd nearly bought the farm trying to protect her from her own foolishness. What are the chances he'd agree to take incriminating pictures of her sister's philandering husband? Or that he'd let her tag along�you know…for research? But when her brother-in-law turns up dead and her sister becomes the prime suspect, Sophie's priority is finding the real killer. With or without Anatoly's help. Her brother-in-law's secret life yields plenty of suspects, but the San Francisco police aren't taking any of them seriously. So Sophie does what comes naturally to her: she stirs up trouble (to lure the killer out, of course). But if her crazy plan works, will Anatoly be there to protect her this time?",3.94,"Passion, Betrayal And Killer Highlights",Mystery,Mystery,Romance,Fantasy
10935,Linda Gerber,"A fun, sexy, murder-mysteryromance for all teen sleuths! Aphra Behn Connolly has the type of life most teenage girls envy. She lives on a remote tropical island and spends most of her time eavesdropping on the rich and famous. The problem is that her family's resort allows few opportunities for her to make friends, much less to meet cute boys. So when a smoldering Seth Mulo arrives with his parents, she's immediately drawn to him. Sure, he's a little bit guarded, and sure his parents are rather cold, and okay he won't say a word about his past, but their chemistry is undeniable. Then a famous rock star's girlfriend turns up dead on the beach, strangled by her own bikini top, and alarm bells sound. Is it too great a coincidence that Seth's family turned up just one day before a murder? As the plot thickens, Aphra finds that danger lurks behind even the most unexpected of faces. . . .",3.84,Death by Bikini,Mystery,Romance,Mistery,Fantasy
10953,Amy Ivan,"New York City – Fashion capital of America and home to the once prestigious House of Rivaldi. The struggle to rebuild itself after bad publicity and faulty collections becomes a game of who’s playing whom in the racy world of high fashion, high stakes, and unrequited love . . .Perceptive, inspired, an up-and-coming designer, Celia Hephner is determined to turn Rivaldi around. Yet “inflatable” men abound in Celia’s world with their puffed up egos, enigmatic fronts, and private agendas. The most evocative being her ex-husband who left her five years ago for Paris.Peter Sletcher – Marketing guru, fast track executive, and more elusive than ever when he returns to Celia’s life. Realizing her genius, he challenges her professional skills, though his motivation behind his position at Rivaldi remains ever in question.Murderous intent, stylish clothes, dangerous love. Designs are stolen, bodies fall, and talents battle it out within the silky seams of the Fashion Center’s runway. As Celia’s abilities are put to the ultimate test, she must do the one thing she cannot—trust Peter, to determine who is out to destroy Rivaldi, before she becomes the next victim and the fall of the house is assured.Praise for Inflatable Men: “ . . . well written, the plot is well developed and easy to follow . . . ” – Publisher’s Weekly Amazon Breakthrough Novel Competition",4.56,Inflatable Men,Mystery,Romance,Mistery,Sci-fi
10956,Molly Elwood|Robin Robinson,"When Spartacus Ryan “Poop Lip” Zander finds his house destroyed and his wacko, Human Cannonball mother missing, it’s obvious that she’s been kidnapped by Bartholomew’s World-Renowned Circus of the Incredible. But when his dad and brother refuse to believe it—because they’re morons, obviously—it’s up to Spartacus to be the hero.With the Internet-wizardry of his best friend and clues from his mom’s postcards, Spartacus sets out on a zany, west coast rescue mission. But as the stories about the circus get stranger (and Spart’s enemies get weirder), he realizes the only way to bring his family back together is to bring the big top down, once and for all.",4.23,Spartacus and the Circus of Shadows,Mystery,Fantasy,Sci-fi,Mistery
10958,Shawn Thomas Odyssey,"Oona Crate was born to be the Wizard’s apprentice, but she has another destiny in mind. Despite possessing the rare gift of natural magic, Oona wants to be a detective.Eager for a case to prove herself, she wants to show her uncle—the Wizard of Dark Street—that logic is as powerful as magic. But when someone attacks the Wizard, Oona must delve even deeper into the world of magic to discover who wanted her uncle dead.Full of magic, odd characters, evil henchmen, and a street where nothing is normal, The Wizard of Dark Street will have you guessing until the very end.",3.82,The Wizard of Dark Street,Mystery,Science Fiction,Fantasy,Mistery
10990,Laura Benedict,"“Isabella Moon is a book of secrets and dark miracles. Laura Benedict writes with tender power and understanding, filling the pages with characters whose mysteries and longings will matter to every reader.”–Luanne Rice, author of The Edge of Winter Sometimes the past comes looking for you. . . .Two years ago, in idyllic Carystown, Kentucky, nine-year-old Isabella Moon disappeared on her way home from school. Is it just coincidence that Kate Russell, a young woman with no discernible past, arrived in town just months before Isabella’s disappearance? When Kate walks into Sheriff Bill Delaney’s office to tell him that Isabella’s ghost has led her to the child’s hidden grave, he immediately views her as a suspect. Mystery follows mystery as a local athlete drops dead, inexplicably, on the basketball court, and someone close to Kate is viciously murdered.Quiet Carystown was to be Kate’s salvation, and she’s settled into a comfortable job, a charming cottage, and a blissful romance. But having lied to her boyfriend, Caleb, for so long about the terrors of her past life, she finds she can’t trust him to understand the terror that Isabella Moon has now brought. And Kate’s best friend, Francie, is too wrapped up in her own troubles–particularly a secret affair with a man she at once loves and despises–to give Kate the help she needs. Utterly alone, Kate is torn between finding justice for the dead child and keeping away old ghosts of her own.The unsolved disappearance of Isabella Moon has been the biggest disappointment of Sheriff Delaney’s career. But he senses that Kate is trouble. As he investigates her impossible claims, he also uncovers a series of unsettling truths about Carystown itself. Behind his hometown’s genteel façade is a morass of lies and murder, drugs and destruction. And Carystown’s residents are about to discover that even though the past is buried, it can rise again–with a vengeance.Dark and suspenseful, tense and eerie, tinged with the supernatural, Isabella Moon is an engrossing, beautifully written debut novel, a breathtaking and artful story of the dark mysteries that can lurk in the most bucolic of places–and the ghost of a little girl who watches as evil rises unstoppably to the surface.",3.17,Isabella Moon,Mystery,Romance,Mistery,Fantasy
