,book_authors,book_desc,book_rating,book_title,genres,tag_1,tag_2,tag_3
3771,Beatrix Potter,This complete and unabridged collection contains all 23 of Beatrix Potter's Tales in one deluxe volume with all their original illustrations. The stories are arranged in the order in which they were first published so they may be read in their proper sequence. A special section at the end of this volume contains four additional works by Beatrix Potter that were not published during her lifetime. Beautifully reissued with a newly designed slipcase and jacket--a truly stunning gift.,4.36,The Complete Tales,Classics,Sequential Art,Classics,Historical
3785,Oscar Wilde|Merlin Holland,"In print since 1948, this is a single-volume collection of Oscar Wilde's texts. It contains his only novel, The Portrait of Dorian Gray as well as his plays, stories, poems, essays and letters. Illustrated with many photographs, the book includes introductions to each section by Wilde's grandon, Merlin Holoand, Owen Dudley Edwards, Declan Kibertd and Terence Brown. A comprehensive bibliography of works by and about Oscar Wilde together with a chronological table of his life and work are also included.",4.45,Complete Works of Oscar Wilde,Classics,Fiction,Classics,Sequential Art
3796,Louisa May Alcott,"It was first serialised in the Merry's Museum magazine between July and August in 1869 and consisted of only six chapters. For the finished product, however, Alcott continued the story from the chapter ""Six Years Afterwards"" and so it ended up with nineteen chapters in all. The book revolves around Polly Milton, the old-fashioned girl who titles the story. Polly visits her wealthy friend Fanny Shaw in the city and is overwhelmed by the fashionable and urban life they live--but also left out because of her ""countrified"" manners and outdated clothes.",4.06,An Old-Fashioned Girl,Classics,Fiction,Historical,Nonfiction
3799,Thomas Mann|John E. Woods,"Thomas Mann's last great novel, first published in 1947 and now rendered into English by acclaimed translator John E. Woods, is a modern reworking of the Faust legend, in which Germany sells its soul to the Devil. Mann's protagonist, the composer Adrian Leverkühn, is the flower of German culture, a brilliant, isolated, overreaching figure, his radical new music a breakneck game played by art at the very edge of impossibility. In return for twenty-four years of unparalleled musical accomplishment, he bargains away his soul - and the ability to love his fellow man.Leverkühn's life story is a brilliant allegory of the rise of the Third Reich, of Germany's renunciation of its own humanity and its embrace of ambition and its nihilism. It is also Mann's most profound meditation on the German genius - both national and individual - and the terrible responsibilities of the truly great artist.",4.08,Doctor Faustus,Classics,Fiction,Historical,Classics
3808,Elias Canetti|C.V. Wedgwood,"""Auto-da-Fé"" is the story of Peter Kien, a distinguished, reclusive sinologist living in Germany between the wars. With masterly precision, Canetti reveals Kien's character, displaying the flawed personal relationships which ultimately lead to his destruction.Manipulated by his illiterate and grasping housekeeper, Therese, who has tricked him into marriage, and Benedikt Pfaff, a brutish concierge, Kien is forced out of his apartment - which houses his great library and one true passion - and into the underworld of the city. In this purgatory he is guided by a chess-playing dwarf of evil propensities, until he is eventually restored to his home. But on his return he is visited by his brother, an eminent psychiatrist who, by an error of diagnosis, precipitates the final crisis...""Auto-da-Fé"" was first published in Germany in 1935 as ""Die Blendung"" (""The Blinding"" or ""Bedazzlement"") and later in Britain in 1947, where the publisher noted Canetti as a 'writer of strongly individual genius, which may prove influential', an observation borne out when the author was awarded the Nobel Prize for Literature in 1981. ""Auto-da-Fé"" still towers as one of the greatest novels of the twentieth century, and Canetti's incisive vision of an insular man battling agianst the outside world is as fresh and rewarding today as when first it appeared in print.",4.05,Auto-da-Fé,Classics,Fiction,Romance,Classics
3818,William Shakespeare,"Titus Andronicus is the earliest tragedy and the earliest Roman play attributed to Shakespeare. Titus, a model Roman, has led twenty-one of his twenty-five sons to death in Rome’s wars; he stabs another son to death for what he views as disloyalty to Rome. Yet Rome has become “a wilderness of tigers.” After a death sentence is imposed on two of his three remaining sons, and his daughter is raped and mutilated, Titus turns his loyalty toward his family.Aaron the Moor, a magnificent villain and the empress’s secret lover, makes a similar transition. After the empress bears him a child, Aaron devotes himself to preserving the baby. Retaining his thirst for evil, he shows great tenderness to his little family—a tenderness that also characterizes Titus before the terrifying conclusion.The authoritative edition of Titus Andronicus from The Folger Shakespeare Library, the trusted and widely used Shakespeare series for students and general readers, includes: -Freshly edited text based on the best early printed version of the play -Full explanatory notes conveniently placed on pages facing the text of the play -Scene-by-scene plot summaries -A key to the play’s famous lines and phrases -An introduction to reading Shakespeare’s language -An essay by a leading Shakespeare scholar providing a modern perspective on the play -Fresh images from the Folger Shakespeare Library’s vast holdings of rare books -An annotated guide to further readingEssay by Alexander LeggattThe Folger Shakespeare Library in Washington, DC, is home to the world’s largest collection of Shakespeare’s printed works, and a magnet for Shakespeare scholars from around the globe. In addition to exhibitions open to the public throughout the year, the Folger offers a full calendar of performances and programs. For more information, visit Folger.edu.",3.71,Titus Andronicus,Classics,Historical,Classics,Sequential Art
3842,Charlotte Brontë|Lucasta Miller|collaborative|Jessica Cox,"Following the tremendous popular success of Jane Eyre, which earned her lifelong notoriety as a moral revolutionary, Charlotte Brontë vowed to write a sweeping social chronicle that focused on ""something real and unromantic as Monday morning."" Set in the industrializing England of the Napoleonic wars and Luddite revolts of 1811-12, Shirley (1849) is the story of two contrasting heroines. One is the shy Caroline Helstone, who is trapped in the oppressive atmosphere of a Yorkshire rectory and whose bare life symbolizes the plight of single women in the nineteenth century. The other is the vivacious Shirley Keeldar, who inherits a local estate and whose wealth liberates her from convention.A work that combines social commentary with the more private preoccupations of Jane Eyre, Shirley demonstrates the full range of Brontë's literary talent. ""Shirley is a revolutionary novel,"" wrote Brontë biographer Lyndall Gordon. ""Shirley follows Jane Eyre as a new exemplar but so much a forerunner of the feminist of the later twentieth century that it is hard to believe in her actual existence in 1811-12. She is a theoretic possibility: what a woman might be if she combined independence and means of her own with intellect. Charlotte Brontë imagined a new form of power, equal to that of men, in a confident young woman [whose] extraordinary freedom has accustomed her to think for herself....Shirley [is] Brontë's most feminist novel.""",3.74,Shirley,Classics,Historical,Classics,Sequential Art
3877,Mary Webb,"A compelling story of passion, with an enduring air of enchantment throughout, Precious Bane is a novel that haunts us with its beauty and its timeless truths about our deepest hopes. Set in Shropshire in the 1800s, it is alive with the many moods of Nature, benevolent and violent and the many moods -- equally benevolent and violent -- of the people making lives there. Prue Sarn is an unlikely heroine, born with a facial disfiguration which the Fates have dictated will deny her love. But Prue has strength far beyond her handicap, and this woman, suspected of witchcraft by her fellow townspeople, rises above them all through an all-encompassing sweetness of spirit. Precious Bane is also the story of Gideon, Prue's doomed brother, equally strong-willed, but with other motives. Determined to defeat the poverty of their farm, he devotes all his energies to making money. His only diversion from this ambition, he abandons her for the stronger drive of his money lust. And finally, it is the story of Kester Woodseaves, whose steady love for all created things leads him to resist people's cruelty toward nature and each other, and whose love for Prue Sarn enables him to discern her natural loveliness beneath her blighted appearance. Rebecca West, a contemporary of Mary Webb, called her, simply, ""a genius,"" and G. K. Chesterton, another contemporary, asserted: ""the light in the stories . . . is a light not shining on the things but through them."" Critic Hilda Addison summed up Precious Bane: ""The book opens with one of those simple sentences which haunt the mind until the curiosity has been satisfied . . . It strikes a note which never fails throughout; it opens with a beauty which is justified to the last sentence."" When the book was first published in 1926 in America, the New York Times Book Review predicted: "" on some bookshelves, we feel sure, Precious Bane will find almost a hallowed place."" ",4.24,Precious Bane,Classics,Historical,Romance,Classics
3893,Bo Hampton|Tracey Hampton|Washington Irving,"Please note that this is the graphic novel adaptation of Sleepy Hollow. If you're looking for the short story, go here.This is Bo Hampton's 1993 Legend of Sleepy Hollow, a faithful adaptation of Washington Irving's tale surrounding the ghostly inhabitants of Tarrytown, New York around the time of the American Revolution. The cast of characters is headed up by the Headless Horseman himself. This edition boasts new covers and 16 pages of new material, including numerous preliminary sketches of scenes and characters.",3.96,The Legend of Sleepy Hollow (Graphic Novel),Classics,Historical,Fiction,Classics
3917,Louisa May Alcott,"With two sons of her own, and twelve rescued orphan boys filling the informal school at Plumfield, Jo March -- now Jo Bhaer -- couldn't be happier. But despite the warm and affectionate help of the whole March family, boys have a habit of getting into scrapes, and there are plenty of troubles and adventures in store.",3.85,Little Men,Classics,Sequential Art,Romance,Classics
3962,Laura Ingalls Wilder|Garth Williams,"The long winter is finally over, and with spring comes a new job for Laura, town parties, and more time to spend with Almanzo Wilder. Laura also tries to help Pa and Ma save money for Mary to go to college.",4.18,Little Town on the Prairie,Classics,Young Adult,Romance,Mystery
3976,Daniel Defoe,"The Fortunes & Misfortunes of the Famous Moll Flanders (aka Moll Flanders) is a novel by Daniel Defoe, 1st published in 1722. It purports to be the true account of the life of the eponymous Moll, detailing her exploits from birth until old age. By 1721, Defoe had become a recognised novelist, with the success of Robinson Crusoe in 1719. His political work was tapering off at this point, due to the fall of both Whig & Tory party leaders with whom he had been associated; Robert Walpole was beginning his rise. Defoe was never fully at home with the Walpole group. Defoe's Whig views are nevertheless evident in the story of Moll. The novel's full title gives some insight into this & the outline of the plot: ""The Fortunes & Misfortunes of the Famous Moll Flanders, &c. Who was Born in Newgate, & during a Life of continu'd Variety for Threescore Years, besides her Childhood, was Twelve Year a Whore, five times a Wife (whereof once to her own Brother), Twelve Year a Thief, Eight Year a Transported Felon in Virginia, at last grew Rich, liv'd Honest, & died a Penitent. Written from her own Memorandums.""",3.51,Moll Flanders,Classics,Historical,Sequential Art,Mystery
3979,Charles Dickens|Patricia Ingham|Hablot Knight Browne,"While writing Martin Chuzzlewit - his sixth novel - Dickens declared it 'immeasurably the best of my stories.' He was already famous as the author of The Pickwick Papers and Oliver Twist. Set partly in America, which Dickens had visited in 1842, the novel includes a searing satire on the United States. Martin Chuzzlewit is the story of two Chuzzlewits, Martin and Jonas, who have inherited the characteristic Chuzzlewit selfishness. It contrasts their diverse fates of moral redemption and worldly success for one, with increasingly desperate crime for the other. This powerful black comedy involves hypocrisy, greed and blackmail, as well as the most famous of Dickens's grotesques, Mrs Gamp.",3.83,Martin Chuzzlewit,Classics,Fiction,Historical,Classics
3984,Victor Hugo,"Victor Hugo's The Man Who Laughs (first published under the French title L'Homme qui Rit in April 1869) is a sad and sordid tale -- not the sort of tale of the moment Hugo was known for. It starts on the night of January 29, 1690, a ten-year-old boy abandoned -- the stern men who've kept him since infancy have wearied of him. The boy wanders, barefoot and starving, through a snowstorm to reach a gibbet bearing the corpse of a hanged criminal. Beneath the gibbet is a ragged woman, frozen to death. The boy is about to move onward when he hears a sound within the woman's garments: He discovers an infant girl, barely alive, clutching the woman's breast. A single drop of frozen milk, resembling a pearl, is on the woman's lifeless breast...",4.22,The Man Who Laughs,Classics,Historical,Fiction,Classics
3986,A.A. Milne|Ernest H. Shepard,"In 1926, the world was introduced to a portly little bear named Winnie-the-Pooh. Along with his young friend, Christopher Robin, Pooh delighted readers from the very beginning. His often befuddled perceptions and adorable insights won the hearts of everyone around him, including his close group of friends. From the energetic Tigger to the dismal Eeyore, A. A. Milne created a charming bunch, both entertaining and inspirational. These simple creatures often reflected a small piece of all of us: humble, silly, wise, cautious, creative, and full of life. Remember when Piglet did a very grand thing, or Eeyore's almost-forgotten birthday?Gorgeous watercolor illustrations from Ernest H. Shepard appear in all their glory. With beautiful colors and simple lines, these images hold their own as classics. The tales, filled with superb story lines and lessons, will continue to capture the hearts of new generations.",4.5,The Complete Tales and Poems of Winnie-the-Pooh,Classics,Classics,Historical,Mystery
3990,Arthur Rimbaud,"The prose poems of the great French Symbolist, Arthur Rimbaud (1854-1891), have acquired enormous prestige among readers everywhere and have been a revolutionary influence on poetry in the twentieth century. They are offered here both in their original texts and in superb English translations by Louise Varèse. Mrs. Varèse first published her versions of Rimbaud’s Illuminations in 1946. Since then she has revised her work and has included two poems which in the interim have been reclassified as part of Illuminations. This edition also contains two other series of prose poems, which include two poems only recently discovered in France, together with an introduction in which Miss Varèse discusses the complicated ins and outs of Rimbaldien scholarship and the special qualities of Rimbaud’s writing. Rimbaud was indeed the most astonishing of French geniuses. Fired in childhood with an ambition to write, he gave up poetry before he was twenty-one. Yet he had already produced some of the finest examples of French verse. He is best known for A Season in Hell, but his other prose poems are no less remarkable. While he was working on them he spoke of his interest in hallucinations––""des vertiges, des silences, des nuits."" These perceptions were caught by the poet in a beam of pellucid, and strangely active language which still lights up––now here, now there––unexplored aspects of experience and thought.",4.38,Illuminations,Classics,Classics,Historical,Young Adult
4020,Meša Selimović|Edward Dennis Goy|Jasna Levinger-Goy,"A novel on 18th century Sarajevo under Ottoman rule, featuring a soldier returned from the wars. A Muslim, he marries a Christian girl who supports him while he dabbles in politics, eventually leading a raid to rescue a friend from jail.",4.67,The Fortress,Classics,Historical,Fiction,Classics
4041,A.A. Milne|Ernest H. Shepard,"Alternate Cover Edition can be found here. The world of Pooh is the Thousand Acre Wood of Winnie-the-Pooh and his friends Piglet, Eeyore, Tigger, Kanga, Christopher Robin, and more. He is a whimsical philosopher, staunch friend, plump, and fond of honey. He calls himself a Bear of Very Little Brain, but is wise and loving. Delicate paintings loved by centuries of children.",4.43,The World of Winnie-the-Pooh,Classics,Historical,Sequential Art,Fiction
4095,Shirley Jackson,"Shirley Jackson's ""The Lottery"" is a memorable and terrifying masterpiece, fueled by a tension that creeps up on you slowly without any clear indication of why. This is just a townful of people, after all, choosing their numbers for the annual lottery. What's there to be scared of?",4.09,The Lottery,Classics,Mystery,Classics,Historical
4105,Luo Guanzhong|C.H. Brewitt-Taylor|Robert E. Hegel,"This epic saga of brotherhood and rivalry, of loyalty and treachery, of victory and death forms part of the indelible core of classical Chinese culture and continues to fascinate modern-day readers.In 220 EC, the 400-year-old rule of the mighty Han dynasty came to an end and three kingdoms contested for control of China. Liu Pei, the legitimate heir to the Han throne, elects to fight for his birthright and enlists the aid of his sworn brothers, the impulsive giant Chang Fei and the invincible knight Kuan Yu. The brave band faces a formidable array of enemies, foremost among them the treacherous and bloodthirsty Ts'ao Ts'ao. The bold struggle of the three heroes seems doomed until the reclusive wizard Chuko Liang offers his counsel, and the tide begins to turn.Romance of the Three Kingdoms is China's oldest novel and the first of a great tradition of historical fiction. Believed to have been compiled by the play-wright Lo Kuan-chung in the late fourteenth century, it is indebted to the great San-kuo chi (Chronicles of the Three Kingdoms) completed by the historian Ch'en Shou just before his death in 297 CE. The novel first appeared in print in 1522. This edition, translated in the mid-1920s by C. H. Brewitt-Taylor, is based on a shortened and simplified version which appeared in the 1670s. An Introduction to this reprint by Robert E. Hegel, Professor of Chinese and Comparative Literature at Washington University, provides an insightful commentary on the historical background to the novel, its literary origins and its main characters.",4.29,"Romance of the Three Kingdoms, Vol. 1 of 2",Classics,Romance,Historical,Classics
4108,Fyodor Dostoyevsky|Constance Garnett,"In this dark and compelling short novel, Fyodor Dostoevsky tells the story of Alexey Ivanovitch, a young tutor working in the household of an imperious Russian general. Alexey tries to break through the wall of the established order in Russia, but instead becomes mired in the endless downward spiral of betting and loss. His intense and inescapable addiction is accentuated by his affair with the General’s cruel yet seductively adept niece, Polina. In The Gambler, Dostoevsky reaches the heights of drama with this stunning psychological portrait.",3.88,The Gambler,Classics,Fiction,Sequential Art,Mystery
4121,Charles Dickens|Jonathan Lethem,"Dombey and Son, Charles Dickens’s story of a powerful man whose callous neglect of his family triggers his professional and personal downfall, showcases the author’s gift for vivid characterization and unfailingly realistic description. As Jonathan Lethem contends in his Introduction, Dickens’s “genius . . . is at one with the genius of the form of the novel itself: Dickens willed into existence the most capacious and elastic and versatile kind of novel that could be, one big enough for his vast sentimental yearnings and for every impulse and fear and hesitation in him that countervailed those yearnings too. Never parsimonious and frequently contradictory, he always gives us everything he can, everything he’s planned to give, and then more.” This Modern Library Paperback Classic was set from the 1867 “Charles Dickens” edition.",3.91,Dombey and Son,Classics,Classics,Fiction,Historical
4122,Cao Xueqin|Chi-chen Wang|Mark Van Doren,"For more than a century and a half, Dream of the Red Chamber has been recognized in China as the greatest of its novels, a Chinese Romeo-and-Juliet love story and a portrait of one of the world's great civilizations. Chi-chen Wang's translation is skillful, accurate and fascinating.",4.11,The Dream of the Red Chamber,Classics,Classics,Romance,Sequential Art
4125,Väinö Linna,"The Unknown Soldier is a story about the Continuation War between Finland and Soviet Union, told from the viewpoint of ordinary Finnish soldiers. Gritty and realistic, it was partly intended to shatter the myth of the noble, obedient Finnish soldier, and in that it succeeded admirably.",4.0,The Unknown Soldier,Classics,Historical,Fiction,Nonfiction
4128,Thomas Hardy|Patricia Ingham,"In this classically simple tale of the disastrous impact of outside life on a secluded community in Dorset, now in a new edition, Hardy narrates the rivalry for the hand of Grace Melbury between a simple and loyal woodlander and an exotic and sophisticated outsider. Betrayal, adultery, disillusion, and moral compromise are all worked out in a setting evoked as both beautiful and treacherous. The Woodlanders, with its thematic portrayal of the role of social class, gender, and evolutionary survival, as well as its insights into the capacities and limitations of language, exhibits Hardy's acute awareness of his era's most troubling dilemmas.",3.84,The Woodlanders,Classics,Historical,Classics,Nonfiction
4141,Luís de Camões|Landeg White,"1998 is the quincentenary of Vasco da Gama's voyage via southern Africa to India, the voyage celebrated in this new translation of one of the greatest poems of the Renaissance. Portugal's supreme poet Camoes was the first major European artist to cross the equator. The freshness of that original encounter with Africa and India is the very essence of Camoes's vision. The first translation of The Lusiads for almost half a century, this new edition is complemented by an illuminating introduction and extensive notes.""",3.99,The Lusiads,Classics,Historical,Romance,Sequential Art
4159,Oscar Wilde,"More than a hundred years ago, Oscar Wilde created this moving story for his children. Now shimmering illustrations, as bejeweled and golden as the Prince himself, give glowing life to the many dimensions of his tale. His story of friendship, love, and a willingness to part with one's own riches may be more important today than ever before. Full color.",4.22,The Happy Prince,Classics,Historical,Mystery,Classics
4185,Samuel Richardson|Angus Ross,"Pressured by her unscrupulous family to marry a wealthy man she detests, the young Clarissa Harlowe is tricked into fleeing with the witty and debonair Robert Lovelace and places herself under his protection. Lovelace, however, proves himself to be an untrustworthy rake whose vague promises of marriage are accompanied by unwelcome and increasingly brutal sexual advances. And yet, Clarissa finds his charm alluring, her scrupulous sense of virtue tinged with unconfessed desire. Told through a complex series of interweaving letters, ""Clarissa"" is a richly ambiguous study of a fatally attracted couple and a work of astonishing power and immediacy. A huge success when it first appeared in 1747, and translated into French and German, it remains one of the greatest of all European novels. Its rich ambiguities - our sense of Clarissa's scrupulous virtue tinged with intimations of her capacity for self-deception in matters of sex; the wicked and amusing faces of Lovelace, who must be easily the most charming villain in English literature - give the story extraordinary psychological momentum. .",3.36,"Clarissa, or, the History of a Young Lady",Classics,Classics,Mystery,Romance
4205,Charlotte Perkins Gilman|Elaine Hedges,"‘It is stripped off - the paper - in great patches . . . The colour is repellent . . . In the places where it isn’t faded and where the sun is just so - I can see a strange, provoking, formless sort of figure, that seems to skulk about . . .’Based on the author’s own experiences, 'The Yellow Wallpaper' is the chilling tale of a woman driven to the brink of insanity by the ‘rest cure’ prescribed after the birth of her child. Isolated in a crumbling colonial mansion, in a room with bars on the windows, the tortuous pattern of the yellow wallpaper winds its way into the recesses of her mind.Charlotte Perkins Gilman was America’s leading feminist intellectual of the early twentieth century. In addition to her masterpiece 'The Yellow Wallpaper', this new edition includes a selection of her best short fiction and extracts from her autobiography.",4.11,The Yellow Wall-Paper,Classics,Fiction,Sequential Art,Historical
4216,Hafez,"The Persian poet Hafez (1320-1389) is best known as a Sufi mystic who incorporated elements of Sufism into his verses. The state of God-Realisation is symbolised through union with a Beloved, and drinking the wine of spiritual love.This compact version of the Divan of Hafez is a facsimile illuminated manuscript, complete with beautiful Persian calligraphy and miniature illustrations. There are 43 ghazals, translated into English by classical scholar Gertrude Bell. It is a truly beautiful introduction not only to the works of this beloved Sufi mystic, but also to the artistry of Mahmoud Farshchian. It is like getting two books in one: poetry and art.",4.63,The Divan,Classics,Classics,Sequential Art,Romance
4231,Dodie Smith|Michael Dooling,"Pongo and Missis had a lovely life. With their human owners, the Dearlys, to look after them, they lived in a comfortable home in London with their 15 adorable Dalmatian puppies, loved and admired by all. Especially the Dearlys' neighbor Cruella de Vil, a fur-fancying fashion plate with designs on the Dalmatians' spotted coats! So, when the puppies are stolen from the Dearly home, and even Scotland Yard is unable to find them, Pongo and Missis know they must take matters into their own paws! The delightful children's classic adapted twice for popular Disney productions. Ages 8-11",4.12,The 101 Dalmatians,Classics,Classics,Mystery,Fantasy
4239,Sinclair Lewis,"With Commentary by E. M. Forster, Dorothy Parker, H. L. Mencken, Lewis Mumford, Rebecca West, Sherwood Anderson, Malcolm Cowley, Alfred Kazin, Constance Rourke, and Mark Schorer.Main Street, the story of an idealistic young woman's attempts to reform her small town, brought Lewis immediate acclaim when it was published in 1920. It remains one of the essential texts of the American scene. Lewis Mumford observed: ""In Main Street an American had at last written of our life with something of the intellectual rigor and critical detachment that had seemed so cruel and unjustified [in Charles Dickens and Matthew Arnold]. Young people had grown up in this environment, suffocated, stultified, helpless, but unable to find any reason for their spiritual discomfort. Mr. Lewis released them.""Sinclair Lewis (1885-1951), was born in Sauk Centre, Minnesota and graduated from Yale in 1907. In 1930 he became the first American recipient of the Nobel Prize in Literature. Main Street (1920) was his first critical and commercial success. Lewis's other noted books include Babbitt (1922), Arrowsmith (1925), Elmer Gantry (1927), Dodsworth (1929), and It Can't Happen Here (1935).",3.76,Main Street,Classics,Historical,Classics,Sequential Art
4277,Ronald Holt|Arthur Conan Doyle,"Holmes is hired by the King of Bohemia to recover blackmail evidence, held by the woman whom the king once promised to marry, but who he abandoned for a woman of noble birth.",4.22,"A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1)",Classics,Historical,Nonfiction,Mystery
4317,Anton Chekhov|Ronald Wilks|Paul Debreczney,"In the final years of his life, Chekhov had reached the height of his powers as a dramatist, and also produced some of the stories that rank among his masterpieces. The poignant 'The Lady with the Little Dog' and 'About Love' examine the nature of love outside of marriage - its romantic idealism and the fear of disillusionment. And in stories such as 'Peasants', 'The House with the Mezzanine' and 'My Life' Chekhov paints a vivid picture of the conditions of the poor and of their powerlessness in the face of exploitation and hardship. With the works collected here, Chekhov moved away from the realism of his earlier tales - developing a broader range of characters and subject matter, while forging the spare minimalist style that would inspire such modern short-story writers as Hemingway and Faulkner.",4.21,"The Lady With the Little Dog and Other Stories, 1896-1904",Classics,Romance,Sequential Art,Fiction
4330,Robert McCloskey,"This classic tale of the famous Mallard ducks of Boston is available for the first time in a full-sized paperback edition. Awarded the Caldecott Medal in 1942, Make Way for Ducklings has been described as ""one of the merriest picture books ever"" (The New York Times). Ideal for reading aloud, this book deserves a place of honor on every child's bookshelf.",4.22,Make Way for Ducklings,Classics,Classics,Historical,Sequential Art
4335,Ezra Pound,"Delmore Schwartz said about The Cantos, ""They are one of the touchstones of modern poetry."" William Carlos Williams said, ""[Pound] discloses history by its odor, by the feel of it—in the words; fuses it with the words, present and past, to MAKE his Cantos. Make them.""Since the 1969 revised edition, the Italian Cantos LXXII and LXXIII (as well as a 1966 fragment concluding the work) have been added. Now appearing for the first time is Pound's recently found English translation of Italian Canto LXXII.",3.92,The Cantos,Classics,Historical,Classics,Sequential Art
4346,D.H. Lawrence|Daphne Merkin,"Set in the rural Midlands of England, The Rainbow (1915) revolves around three generations of the Brangwens, a strong, vigorous family, deeply involved with the land. When Tom Brangwen marries a Polish widow,Lydia Lensky, and adopts her daughter Anna as his own, he is unprepared for the conflict and passion that erupts between them. All are seeking individual fulfilment, but it is Ursula, Anna's spirited daughter, who, in search for self-knowledge, rejects the conventional role of womanhood.",3.68,The Rainbow,Classics,Historical,Romance,Fiction
4380,L.P. Hartley|Colm Tóibín,"""The past is a foreign country: they do things differently there.""Summering with a fellow schoolboy on a great English estate, Leo, the hero of L. P. Hartley's finest novel, encounters a world of unimagined luxury. But when his friend's beautiful older sister enlists him as the unwitting messenger in her illicit love affair, the aftershocks will be felt for years. The inspiration for the brilliant Joseph Losey/Harold Pinter film starring Julie Christie and Alan Bates, The Go-Between is a masterpiece—a richly layered, spellbinding story about past and present, naiveté and knowledge, and the mysteries of the human heart. This volume includes, for the first time ever in North America, Hartley's own introduction to the novel.",3.94,The Go-Between,Classics,Classics,Fiction,Sequential Art
4394,Rafael Sabatini,"Short Description: Peter Blood, an Irish physician and soldier in England in the 1680's, is wrongly convicted of treason and sentenced to indentured slavery in the Caribbean. He escapes and becomes the most feared pirate captain on the Spanish Main, but all the glory of his adventures cannot help him, for the woman he loves cannot love a thief and pirate. Even when he destroys England's enemies, even at his most triumphant...but wait! What's that... Long Description: Peter Blood, an Irish physician and former soldier is happily settled, in the 1680's, as the doctor in an English town, when the rebellion of the Duke of Monmouth catches him by accident. He saves a man's life, as a doctor must try to do, but the man is a rebel and the hanging Judge Jeffreys sentences him to ten years as an indentured slave in the Caribbean colonies. Once there, his knowledge as a physician is recognized, and thus he meets and falls in love with the daughter of the man who own his servitude; not likely to be a successful love story! A Spanish ship attacks the town, and while the Spaniards celebrate their victory he boldly steals their ship, and he and his fellow convicts sail off to become the boldest and most fearless of pirates among the islands and on the Spanish Main. But all the glory of his adventures cannot help him, for the woman he loves cannot love a thief and pirate. Even when he destroys England's enemies, even at his most triumphant...but wait! Is that... The classic novel of adventure and romance, and one of Sabatini's best.",4.16,Captain Blood,Classics,Classics,Mystery,Romance
4425,Gustave Flaubert|Robert Baldick|Geoffrey Wall,"Based on Flaubert’s own youthful passion for an older woman, Sentimental Education was described by its author as “the moral history of the men of my generation.” It follows the amorous adventures of Frederic Moreau, a law student who, returning home to Normandy from Paris, notices Mme Arnoux, a slender, dark woman several years older than himself. It is the beginning of an infatuation that will last a lifetime. He befriends her husband, an influential businessman, and as their paths cross and re-cross over the years, Mme Arnoux remains the constant, unattainable love of Moreau’s life. Blending love story, historical authenticity, and satire, Sentimental Education is one of the great French novels of the nineteenth century.",3.83,Sentimental Education,Classics,Historical,Romance,Fiction
4429,E. Nesbit,"In this much-loved children's classic first published in 1906, the comfortable lives of three well-mannered siblings are greatly altered when, one evening, two men arrive at the house and take their father away. With the family's fortunes considerably reduced in his absence, the children and their mother are forced to live in a simple country cottage near a railway station. There the young trio — Roberta, Peter, and young Phyllis — befriend the porter and station master.The youngsters' days are filled with adventure and excitement, including their successful attempt to avert a horrible train disaster; but the mysterious disappearance of their father continues to haunt them.The solution to that painful puzzle and many other details and events of the children's lives come to vivid life in this perennial favorite, a story that has captivated generations of readers and, more recently, delighted television and movie audiences. In this inexpensive, unabridged edition, it will charm a whole new audience of young readers with its warmth and appeal.",4.0,The Railway Children,Classics,Classics,Mystery,Sequential Art
4434,Aeschylus|James Scully|C. John Herington,"Featuring an insightful introduction, comprehensive commentary on plot, characters, structure, and other elements of the play, the complete Greek text and fragments, this new translation will be welcomed by students and scholars alike.",3.93,Prometheus Bound,Classics,Classics,Young Adult,Sequential Art
4452,Jonathan Swift,"A Modest Proposal for Preventing the Children of Poor People in Ireland From Being a Burden to Their Parents or Country, and for Making Them Beneficial to the Public, commonly referred to as A Modest Proposal, is a Juvenalian satirical essay written and published anonymously by Jonathan Swift in 1729. Swift suggests in his essay that the impoverished Irish might ease their economic troubles by selling children as food for rich gentlemen and ladies. By doing this he mocks the authority of the British officials. A Modest Proposal is included in many literature programs as an example of early modern western satire. It also serves as an exceptional introduction to the concept and use of argumentative language, lending itself well to secondary and post-secondary essay courses. Outside of the realm of English studies, A Modest Proposal is a relevant piece included in many comparative and global literature and history courses, as well as those of numerous other disciplines in the arts, humanities, and even the social sciences.",4.05,A Modest Proposal,Classics,Young Adult,Historical,Sequential Art
4465,William  Gibson,"NO ONE COULD REACH HER.Twelve-year-old Helen Keller lived in a prison of silence and darkness. Born deaf, blind, and mute, with no way to express herself or comprehend those around her, she flew into primal rages against anyone who tried to help her, fighting tooth and nail with a strength born of furious, unknowing desperation. Then Annie Sullivan came. Half-blind herself, but possessing an almost fanatical determination, she would begin a frightening and incredibly moving struggle to tame the wild girl no one could reach, and bring Helen into the world at last....",4.21,The Miracle Worker,Classics,Historical,Mystery,Sequential Art
