,book_authors,book_desc,book_rating,book_title,genres,MISC,LOC,ORG,PER
1837,Larry Niven|Jerry Pournelle,"In 3016, the 2nd Empire of Man spans hundreds of star systems, thanks to faster-than-light Alderson Drive. Intelligent beings are finally found from the Mote, an isolated star in a thick dust cloud. The bottled-up ancient civilization, at least one million years old, are welcoming, kind, yet evasive, with a dark problem they have not solved in over a million years.",4.07,The Mote in God's Eye,Science Fiction,"['2nd Empire of Man', 'Mote']",['Alderson Drive'],[],[]
1868,George R. Stewart,"A disease of unparalleled destructive force has sprung up almost simultaneously in every corner of the globe, all but destroying the human race. One survivor, strangely immune to the effects of the epidemic, ventures forward to experience a world without man. What he ultimately discovers will prove far more astonishing than anything he'd either dreaded or hoped for.",3.96,Earth Abides,Science Fiction,[],[],[],[]
1873,Isaac Asimov,"In the twenty-second century Earth obtains limitless, free energy from a source science little understands: an exchange between Earth and a parallel universe, using a process devised by the aliens. But even free energy has a price. The transference process itself will eventually lead to the destruction of the Earth's Sun--and of Earth itself.Only a few know the terrifying truth--an outcast Earth scientist, a rebellious alien inhabitant of a dying planet, a lunar-born human intuitionist who senses the imminent annihilation of the Sun.  They know the truth--but who will listen?  They have foreseen the cost of abundant energy--but who will believe?  These few beings, human and alien, hold the key to the Earth's survival.",4.09,The Gods Themselves,Science Fiction,"['Earth', 'Earth', 'Earth', 'Earth']","['Earth', 'Sun', 'Earth', 'Sun']",[],[]
1897,Frank Herbert,"The desert planet of Arrakis has begun to grow green and lush. The life-giving spice is abundant. The nine-year-old royal twins, possesing their father's supernatural powers, are being groomed as Messiahs.But there are those who think the Imperium does not need messiahs...",3.91,Children of Dune,Science Fiction,['Imperium'],['Arrakis'],[],[]
1903,Iain M. Banks,"Cheradenine is an ex-special circumstance agent who had been raised to eminence by a woman named Diziet. Skaffen-Amtiskaw, the drone, had saved her life and it believes Cheradenine to be a burnt-out case. But not even its machine intelligence can see the horrors in his past.",4.19,Use of Weapons,Science Fiction,[],[],[],"['Cheradenine', 'Diziet', 'Skaffen-Amtiskaw', 'Cheradenine']"
1905,Isaac Asimov,"A THOUSAND-YEAR EPIC, A GALACTIC STRUGGLE, A MONUMENTAL WORK IN THE ANNALS OF SCIENCE FICTION FOUNDATION begins a new chapter in the story of man's future. As the Old Empire crumbles into barbarism throughout the million worlds of the galaxy, Hari Seldon and his band of psychologists must create a new entity, the Foundation-dedicated to art, science, and technology-as the beginning of a new empire. FOUNDATION AND EMPIRE describes the mighty struggle for power amid the chaos of the stars in which man stands at the threshold of a new enlightened life which could easily be destroyed by the old forces of barbarism. SECOND FOUNDATION follows the Seldon Plan after the First Empire's defeat and describes its greatest threat-a dangerous mutant strain gone wild, which produces a mind capable of bending men's wills, directing their thoughts, reshaping their desires, and destroying the universe.",4.4,The Foundation Trilogy,Science Fiction,"['GALACTIC', 'Seldon Plan', 'First Empire']",['Old Empire'],[],['Hari Seldon']
1908,Frank Herbert,"Dune Messiah continues the story of the man Muad'dib, heir to a power unimaginable, bringing to completion the centuries-old scheme to create a super-being.""Brilliant...It is all that Dune was, and maybe a little bit more.""--Galaxy Magazine",3.87,Dune Messiah,Science Fiction,"['Dune Messiah', 'Dune']",[],['Galaxy Magazine'],"[""Muad'dib""]"
1910,Gemma Malley,"In the year 2140, it is illegal to be young. Children are all but extinct. The world is a better place. Longevity drugs are a fountain of youth. Sign the Declaration, agree not to have children and you too can live forever. Refuse, and you will live as an outcast. For the children born outside the law, it only gets worse – Surplus status. Not everyone thinks Longevity is a good thing, but you better be clear what side you’re on. . . . Surplus Anna is about to find out what happens when you can’t decide if you should cheat the law or cheat death.",3.71,The Declaration,Science Fiction,['Longevity'],[],[],['Anna']
1911,Roger Zelazny,"Earth is long since dead. On a colony planet, a band of men has gained control of technology, made themselves immortal, and now rule their world as the gods of the Hindu pantheon. Only one dares oppose them: he who was once Siddhartha and is now Mahasamatman. Binder of Demons, Lord of Light.",4.1,Lord of Light,Science Fiction,['Hindu'],['Earth'],"['Binder of Demons', 'Lord of Light']","['Siddhartha', 'Mahasamatman']"
1916,Hugh Howey,"Thousands of them have lived underground. They've lived there so long, there are only legends about people living anywhere else. Such a life requires rules. Strict rules. There are things that must not be discussed. Like going outside. Never mention you might like going outside.Or you'll get what you wish for.",4.12,Wool,Science Fiction,[],[],[],[]
1949,Pierce Brown,"As a Red, Darrow grew up working the mines deep beneath the surface of Mars, enduring backbreaking labor while dreaming of the better future he was building for his descendants. But the Society he faithfully served was built on lies. Darrow’s kind have been betrayed and denied by their elitist masters, the Golds—and their only path to liberation is revolution. And so Darrow sacrifices himself in the name of the greater good for which Eo, his true love and inspiration, laid down her own life. He becomes a Gold, infiltrating their privileged realm so that he can destroy it from within. A lamb among wolves in a cruel world, Darrow finds friendship, respect, and even love—but also the wrath of powerful rivals. To wage and win the war that will change humankind’s destiny, Darrow must confront the treachery arrayed against him, overcome his all-too-human desire for retribution—and strive not for violent revolt but a hopeful rebirth. Though the road ahead is fraught with danger and deceit, Darrow must choose to follow Eo’s principles of love and justice to free his people. He must live for more.",4.45,Golden Son,Science Fiction,[],['Mars'],[],"['Darrow', 'Darrow', 'Darrow', 'Eo', 'Darrow', 'Darrow', 'Darrow', 'Eo']"
1950,Lois McMaster Bujold,"Between the seemingly impossible tasks of living up to his warrior-father's legend and surmounting his own physical limitations, Miles Vorkosigan faces some truly daunting challenges. Shortly after his arrival on Beta Colony, Miles unexpectedly finds himself the owner of an obsolete freighter and in more debt than he ever thought possible. Propelled by his manic ""forward momentum,"" the ever-inventive Miles creates a new identity for himself as the commander of his own mercenary fleet to obtain a lucrative cargo; a shipment of weapons destined for a dangerous warzone.",4.29,The Warrior's Apprentice,Science Fiction,[],[],['Beta Colony'],"['Miles Vorkosigan', 'Miles', 'Miles']"
2012,Ursula K. Le Guin,"George Orr is a man who discovers he has the peculiar ability to dream things into being -- for better or for worse. In desperation, he consults a psychotherapist who promises to help him -- but who, it soon becomes clear, has his own plans for George and his dreams.The Lathe of Heaven is a dark vision and a warning -- a fable of power uncontrolled and uncontrollable. It is a truly prescient and startling view of humanity, and the consequences of playing God.",4.1,The Lathe of Heaven,Science Fiction,['Lathe of Heaven'],[],[],"['George Orr', 'George', 'God']"
2020,Richard K. Morgan,"It's the twenty-fifth century, and advances in technology have redefined life itself. A person's consciousness can now be stored in the brain and downloaded into a new body (or ""sleeve""), making death nothing more than a minor blip on a screen. Onetime U.N. Envoy Takeshi Kovacs has been killed before, but his last death was particularly painful. Resleeved into a body in Bay City (formerly San Francisco), Kovacs is thrown into the dark heart of a shady, far-reaching conspiracy that is vicious even by the standards of a society that treats existence as something that can be bought and sold. For Kovacs, the shell that blew a hole in his chest was only the beginning.",4.07,Altered Carbon,Science Fiction,[],"['Bay City', 'San Francisco']",['U.N'],"['Takeshi Kovacs', 'Kovacs', 'Kovacs']"
2048,Tad Williams,"Renie Sulaweyo, a teacher in the South Africa of tomorrow, realizes something is wrong on the network. Kids, including her brother Stephen, have logged into the net, and cannot escape. Clues point to a mysterious golden city called Otherland, but investigators all end up dead.",3.9,City of Golden Shadow,Science Fiction,[],"['South Africa', 'Otherland']",[],"['Renie Sulaweyo', 'Stephen']"
2072,J.K. Accinni,"Netty’s influence transcends a full century as the United States evolves to a point of politically driven economic collapse. The year is 2033 as a young mother, abused by her shiftless husband, heroically decides to remove her two sickly children, Scotty and Abby, from the mean streets of their government subsidized tenement town of Short Hills, New Jersey to the hills and old farmland of Sussex County. There they unite with a Latino family that adopted Jose, a young boy from Costa Rica, traumatized at the age of seven by the brutal murder of his parents and the kidnapping of his infant sister. The two families unite to pool finances, creating the love and bonds that will enable them to survive the psychotic attention of Armoni, a soul damaged beyond redemption, discovery of Baby’s miraculous offspring, Echo; and their subsequent body changes. Through the efforts of Echo who develops an unexplained passion for the curly haired dog, Barney, they flee the clutches of Armoni after the murder of Armoni’s sidekicks by Echo, to Sarasota, Florida, one of the last remaining enclaves of wealth in the U.S. Scotty learns to utilize Echo as a co-conspirator in his intrigue to thwart the efforts of heinous people that prey on the lives of creatures in their environmentally rich new home, where the insidious miscreant, Armoni, tracks them; dragging along Ginger Mae, a New York City prostitute looking for opportunity with her mute child, Daisy; bringing brutality and violence to all. Having fallen in love, the young Abby and Jose draw close, only to be separated by the transcendental Netty, who tries to use Abby as a conduit in her plan to rescue as much wildlife as they can before despicable political events bring on the specter of Armageddon.",4.18,Echo,Science Fiction,"['Latino', 'Echo', 'Armageddon']","['United States', 'Short Hills', 'New Jersey', 'Sussex County', 'Costa Rica', 'Sarasota', 'Florida', 'U.S.', 'New York City']","['Netty', 'Echo', 'Echo', 'Echo']","['Scotty', 'Abby', 'Jose', 'Armoni', 'Barney', 'Armoni', 'Armoni', 'Scotty', 'Armoni', 'Ginger Mae', 'Daisy', 'Abby', 'Jose', 'Netty', 'Abby']"
2097,Vernor Vinge,"Alternate Cover Edition can be found here. A Fire upon the Deep is the big, breakout book that fulfills the promise of Vinge's career to date: a gripping tale of galactic war told on a cosmic scale.Thousands of years hence, many races inhabit a universe where a mind's potential is determined by its location in space, from superintelligent entities in the Transcend, to the limited minds of the Unthinking Depths, where only simple creatures and technology can function. Nobody knows what strange force partitioned space into these ""regions of thought,"" but when the warring Straumli realm use an ancient Transcendent artifact as a weapon, they unwittingly unleash an awesome power that destroys thousands of worlds and enslaves all natural and artificial intelligence.Fleeing the threat, a family of scientists, including two children, are taken captive by the Tines, an alien race with a harsh medieval culture, and used as pawns in a ruthless power struggle. A rescue mission, not entirely composed of humans, must rescue the children-and a secret that may save the rest of interstellar civilization.",4.13,A Fire Upon the Deep,Science Fiction,"['A Fire upon the Deep', 'Transcend', 'Straumli', 'Tines']",[],[],['Vinge']
2158,Tyler Chase,"""An action-packed adventure involving rivalry, intrigue, love, war and jealousy. The well-written, fast-paced plot moves from one dilemma to another…an exhilarating adventure--a big win for sci-fi and romance fans.""-- Kirkus ReviewsThe brave warrior, Prince Comron Van Laven, lays at death’s door after a near fatal transport crash. His life is in the hands of his mortal enemy who does the unthinkable…she saves him…in so many ways. Together the two must battle for survival against the harsh elements, deadly assassins and vicious animal attacks. But that’s only the beginning of their struggles.Once rescued, they must confront the bitter enmity that exists between their worlds, in addition to the dark family secrets threatening to destroy them. Bound by their deep bond, the two embark on a new odyssey where all forces have turned against them and are seeking their lives. But with the help of some shadowy mercenaries, the two just might make it to the throne of Novoxos to stake their royal claim and defeat their enemies.A fresh guilty-pleasure series, this powerful story is the perfect marriage of science fiction and romance. -- Forward Reviews",4.36,Van Laven Chronicles: Throne of Novoxos,Science Fiction,"['Kirkus ReviewsThe', 'Novoxos']",[],[],['Comron Van Laven']
2172,Philip K. Dick,"Dick at his wildest and strangest - a mystifying but brilliant book - SF: 100 Best NovelsIn the overcrowded world and cramped space colonies of the late 21st century, tedium can be endured through the drug Can-D, which enables users to inhabit a shared illusory world. When industrialist Palmer Eldritch returns from an interstellar trip, he brings with him a new drug, Chew-Z. It is far more potent than Can-D, but threatens to plunge the world into a permanent state of drugged illusion controlled by the mysterious Eldritch.He was the funniest SF writer of his time, and perhaps the most terrifying - The Encyclopedia of Science FictionOne of the most original practitioners writing any kind of fiction, Dick made most of the European avent-garde seem like navel-gazers in a cul-de-sac. - Sunday TimesCover illustration: Chris Moore",4.01,The Three Stigmata of Palmer Eldritch,Science Fiction,"['Can-D', 'Can-D', 'European']",[],[],"['Dick', 'Palmer Eldritch', 'Eldritch.He', 'Dick', 'Chris Moore']"
2174,Isaac Asimov|Sönmez Güven,"Although small and seemingly helpless, the Foundation had managed to survive against the greed of its neighboring warlords. But could it stand against the mighty power of the Empire, who had created a mutant man with the strength of a dozen battlefleets...?",4.21,Foundation and Empire,Science Fiction,[],['Empire'],['Foundation'],[]
2187,Lisa Tawn Bergren,"What do you do when your knight in shining armor lives, literally, in a different world?Most American teenagers want a vacation in Italy, but the Betarrini sisters have spent every summer of their lives among the romantic hills with their archaelogist parents. Stuck among the rubble of the medieval castles in rural Tuscany, on yet another hot, dusty archaeological site, Gabi and Lia are bored out of their minds...until Gabi places her hand atop a handprint in an ancient tomb and finds herself in fourteenth-century Italy. And worse yet, in the middle of a fierce battle between knights of two opposing forces.Suddenly Gabi's summer in Italy is much, much more interesting.",4.03,Waterfall,Science Fiction,"['American', 'Betarrini']","['Italy', 'Tuscany', 'Italy', 'Italy']",[],"['Gabi', 'Lia', 'Gabi', 'Gabi']"
2195,Daniel Suarez,"Technology controls almost everything in our modern-day world, from remote entry on our cars to access to our homes, from the flight controls of our airplanes to the movements of the entire world economy. Thousands of autonomous computer programs, or daemons, make our networked world possible, running constantly in the background of our lives, trafficking e-mail, transferring money, and monitoring power grids. For the most part, daemons are benign, but the same can't always be said for the people who design them. Matthew Sobol was a legendary computer game designer—the architect behind half-a-dozen popular online games. His premature death depressed both gamers and his company's stock price. But Sobol's fans aren't the only ones to note his passing. When his obituary is posted online, a previously dormant daemon activates, initiating a chain of events intended to unravel the fabric of our hyper-efficient, interconnected world. With Sobol's secrets buried along with him, and as new layers of his daemon are unleashed at every turn, it's up to an unlikely alliance to decipher his intricate plans and wrest the world from the grasp of a nameless, faceless enemy—or learn to live in a society in which we are no longer in control. . . . Computer technology expert Daniel Suarez blends haunting high-tech realism with gripping suspense in an authentic, complex thriller in the tradition of Michael Crichton, Neal Stephenson, and William Gibson.",4.17,Daemon,Science Fiction,[],[],[],"['Matthew Sobol', 'Sobol', 'Sobol', 'Daniel Suarez', 'Michael Crichton', 'Neal Stephenson', 'William Gibson']"
2228,Philip K. Dick,"VALIS is the first book in Philip K. Dick's incomparable final trio of novels (the others being The Divine Invasion and The Transmigration of Timothy Archer). This disorienting and bleakly funny work is about a schizophrenic hero named Horselover Fat; the hidden mysteries of Gnostic Christianity; and reality as revealed through a pink laser. VALIS is a theological detective story, in which God is both a missing person and the perpetrator of the ultimate crime.Cover design: Heidi North",3.94,VALIS,Science Fiction,"['The Divine Invasion', 'The Transmigration of Timothy Archer', 'Horselover Fat', 'Gnostic Christianity', 'VALIS']",[],['VALIS'],"['Philip K. Dick', 'God', 'Heidi North']"
2231,Anna Carey,"Where do you go when nowhere is safe?Sixteen years after a deadly virus wiped out most of Earth's population, the world is a perilous place. Eighteen-year-old Eve has never been beyond the heavily guarded perimeter of her school, where she and two hundred other orphaned girls have been promised a future as the teachers and artists of the New America. But the night before graduation, Eve learns the shocking truth about her school's real purpose and the horrifying fate that awaits her.Fleeing the only home she's ever known, Eve sets off on a long, treacherous journey, searching for a place she can survive. Along the way she encounters Arden, her former rival from school, and Caleb, a rough, rebellious boy living in the wild. Separated from men her whole life, Eve has been taught to fear them, but Caleb slowly wins her trust... and her heart. He promises to protect her, but when soldiers begin hunting them, Eve must choose between true love and her life. In this epic new series, Anna Carey imagines a future that is both beautiful and terrifying.",3.69,Eve,Science Fiction,['New America'],['Earth'],[],"['Eve', 'Eve', 'Eve', 'Arden', 'Caleb', 'Eve', 'Caleb', 'Eve', 'Anna Carey']"
2268,Octavia E. Butler,"In 2025, with the world descending into madness and anarchy, one woman begins a fateful journey toward a better futureLauren Olamina and her family live in one of the only safe neighborhoods remaining on the outskirts of Los Angeles. Behind the walls of their defended enclave, Lauren’s father, a preacher, and a handful of other citizens try to salvage what remains of a culture that has been destroyed by drugs, disease, war, and chronic water shortages. While her father tries to lead people on the righteous path, Lauren struggles with hyperempathy, a condition that makes her extraordinarily sensitive to the pain of others.When fire destroys their compound, Lauren’s family is killed and she is forced out into a world that is fraught with danger. With a handful of other refugees, Lauren must make her way north to safety, along the way conceiving a revolutionary idea that may mean salvation for all mankind.",4.15,Parable of the Sower,Science Fiction,[],['Los Angeles'],[],"['Olamina', 'Lauren', 'Lauren', 'Lauren', 'Lauren']"
2318,Bob Atkinson,"Description: The year… 1746.Around Fort William, the Scottish Highlanders are in revolt and the Redcoats are coming…Suddenly… time shifts… people from different eras are dumped at this one turning point in history.In the future, Nuclear Armageddon has caused this powerful blast through time, but why?Can history be changed?Or is the future doomed to witness…The Last Sunset?",3.88,The Last Sunset,Science Fiction,"['Nuclear Armageddon', 'The Last Sunset']",['Fort William'],"['Scottish Highlanders', 'Redcoats']",[]
2330,Paolo Bacigalupi,"Anderson Lake is a company man, AgriGen's Calorie Man in Thailand. Under cover as a factory manager, Anderson combs Bangkok's street markets in search of foodstuffs thought to be extinct, hoping to reap the bounty of history's lost calories. There, he encounters Emiko... Emiko is the Windup Girl, a strange and beautiful creature. One of the New People, Emiko is not human; instead, she is an engineered being, creche-grown and programmed to satisfy the decadent whims of a Kyoto businessman, but now abandoned to the streets of Bangkok. Regarded as soulless beings by some, devils by others, New People are slaves, soldiers, and toys of the rich in a chilling near future in which calorie companies rule the world, the oil age has passed, and the side effects of bio-engineered plagues run rampant across the globe. What Happens when calories become currency? What happens when bio-terrorism becomes a tool for corporate profits, when said bio-terrorism's genetic drift forces mankind to the cusp of post-human evolution? Award-winning author Paolo Bacigalupi delivers one of the most highly acclaimed science fiction novels of the twenty-first century.",3.75,The Windup Girl,Science Fiction,"['Emiko ... Emiko', 'Windup Girl', 'New People', 'New People']","['Thailand', 'Bangkok', 'Kyoto', 'Bangkok']",['AgriGen'],"['Anderson Lake', 'Anderson', 'Emiko', 'Paolo Bacigalupi']"
2370,Philip K. Dick,"Jason Tavener woke up one morning to find himself completely unknown. The night before he had been the top-rated television star with millions of devoted watchers. The next day he was just an unidentified walking object, whose face nobody recognised, of whom no one had heard, and without the I.D. papers required in that near future.When he finally found a man who would agree to counterfeiting such cards for him, that man turned out to be a police informer. And then Taverner found out not only what it was like to be a nobody but also to be hunted by the whole apparatus of society.It was obvious that in some way Taverner had become the pea in in some sort of cosmic shell game - but how? And why?Philip K. Dick takes the reader on a walking tour of solipsism's scariest margin in his latest novel about the age we are already half into.",3.93,"Flow My Tears, the Policeman Said",Science Fiction,[],[],[],"['Jason Tavener', 'Taverner', 'Taverner', 'Philip K. Dick']"
2414,Mary Doria Russell,"Mary Doria Russell's debut novel, The Sparrow, took us on a journey to a distant planet and into the center of the human soul. A critically acclaimed bestseller, The Sparrow was chosen as one of Entertainment Weekly's Ten Best Books of the Year, a finalist for the Book-of-the-Month Club's First Fiction Prize and the winner of the James M. Tiptree Memorial Award. Now, in Children of God, Russell further establishes herself as one of the most innovative, entertaining and philosophically provocative novelists writing today.The only member of the original mission to the planet Rakhat to return to Earth, Father Emilio Sandoz has barely begun to recover from his ordeal when the Society of Jesus calls upon him for help in preparing for another mission to Alpha Centauri. Despite his objections and fear, he cannot escape his past or the future.Old friends, new discoveries and difficult questions await Emilio as he struggles for inner peace and understanding in a moral...",4.05,Children of God,Science Fiction,"['The Sparrow', 'The Sparrow', 'First Fiction Prize', 'James M. Tiptree Memorial Award', 'Children of God']",['Earth'],"['Entertainment Weekly', 'Book-of-the-Month Club', 'Society of Jesus', 'Alpha Centauri']","['Mary Doria Russell', 'Russell', 'Rakhat', 'Emilio Sandoz', 'Emilio']"
2490,Arthur C. Clarke,"Clarke's masterful evocation of the far future of humanity, considered his finest novel.Men had built cities before, but never such a city as Diaspar. For millennia its protective dome shut out the creeping decay and danger of the world outside. Once, it held powers that rule the stars.But then, as legend has it, the invaders came, driving humanity into this last refuge. It takes one man, a Unique, to break through Diaspar's stifling inertia, to smash the legend and discover the true nature of the Invaders.",4.09,The City and the Stars,Science Fiction,"['Unique', 'Invaders']",['Diaspar'],[],"['Clarke', 'Diaspar']"
2496,Michael Marshall Smith,"Michael Marshall Smith’s surreal, groundbreaking, and award-winning debut which resonates with wild humour interlaced with dark recollections of an emotional minefield.Stark lives in Colour, a neighbourhood whose inhabitants like to be co-ordinated with their surroundings – a neighbourhood where spangly purple trousers are admired by the walls of buildings as you pass them. Close by is Sound, where you mustn’t make any, apart from one designated hour a day when you can scream your lungs raw. Then there’s Red – get off at Fuck Station Zero if you want to see a tactical nuclear battle recreated as a sales demonstration.Stark has friends in Red, which is just as well because Something is about to happen. And when a Something happens it’s no good chanting ‘Duck and cover’ while cowering in a corner, because a Something is always from the past, Stark’s past, and it won’t go away until you face it full on.",4.27,Only Forward,Science Fiction,['Fuck Station Zero'],"['Colour', 'Sound', 'Red']",[],"['Michael Marshall Smith', 'Stark']"
2511,Katie Kacvinsky|Katie  Ray,"Maddie lives in a world where everything is done on the computer. Whether it’s to go to school or on a date, people don’t venture out of their home. There’s really no need. For the most part, Maddie’s okay with the solitary, digital life—until she meets Justin. Justin likes being with people. He enjoys the physical closeness of face-to-face interactions. People aren’t meant to be alone, he tells her. Suddenly, Maddie feels something awakening inside her—a feeling that maybe there is a different, better way to live. But with society and her parents telling her otherwise, Maddie is going to have to learn to stand up for herself if she wants to change the path her life is taking. In this not-so-brave new world, two young people struggle to carve out their own space.",3.9,Awaken,Science Fiction,[],[],[],"['Maddie', 'Maddie', 'Justin', 'Justin', 'Maddie', 'Maddie']"
2525,J.K. Accinni,"In the rush to the Tampa Airport, Abby meets a small group of elephants from the famous Elizabeth Siggins Wildlife Foundation fleeing the political horrors of Africa. Putting them under her protection and that of the Hive, she meets Tobi, the elderly matriarch of the small herd who will sacrifice herself to save a human and in return is rewarded with the ultimate gift the Womb can bestow. As the bedraggled group race to the Hive for protection, saving a few desperate souls as they go, the first bomb arrives. As the survivors and the wildlife struggle to adjust to the new pecking order in the Hive and the revelations of their own origins, a woman and her two grandchildren live through the hellish horror and complete breakdown of civilization aboveground as they struggle to reach the Hive where her husband awaits. Horror visits the struggling survivors as they learn the Earth will not support habitation for at least another one hundred years. But the biggest shock comes from the Womb as it extracts a huge penalty from the hapless people, tolling the demise of the human race. Short synopsis - The bedraggled group race to the Hive for protection, struggling with the wildlife underground, as a woman and her two grandchildren live through the hellish horror and breakdown of civilization aboveground, after the bombs.",4.41,Hive,Science Fiction,"['Hive', 'Womb', 'Hive', 'Hive', 'Womb', 'Hive']","['Tampa Airport', 'Africa', 'Hive', 'Earth']",['Elizabeth Siggins Wildlife Foundation'],"['Abby', 'Tobi', 'Horror']"
2532,J.K. Accinni,"Under the guidance of Netty, Abby concocts her plans to abduct the wildlife at the Big Cat Sanctuary in Sarasota. She enlists the help of the handsome Italian yacht captain, Cobby and his son Kane, forcing her to expose the changes to her body, including her hidden wings. Hiding her plans from Jose, he departs on his own mission to find his adopted mother and sisters, leaving Abby to draw closer to the charming and capable Captain Cobby.Young Scotty embarks on a romance with a young rich local girl named Chloe who suffers from the mysterious death of her mother and the constant absences of her father.Life moves expeditiously toward the climax at Chloe’s father’s mansion on Bird Key as strange connections and revealed identities collide with political intrigue and murder, leaving Chloe and Jose traumatized. Joining them in the frantic dash to a yacht moored on the key enabling them to make their escape, wildlife and all, to Tampa Bay, is Kenya, a sassy and striking young pregnant black girl; and Peter, their trusted attorney that falls victim to Armoni and Ginger Mae’s plot, leaving him dangerously scarred and emotionally ruined. During their escape to Tampa Bay ahead of the cops and devastation from the sky, it becomes clear that Scotty might be the mysterious One, as foretold by Caesar, the iconic Siberian tiger that attaches himself to Echo and Scotty.",4.39,Armageddon Cometh,Science Fiction,"['Italian', 'One', 'Siberian']","['Sarasota', 'Bird Key', 'Tampa Bay', 'Kenya', 'Tampa Bay']","['Big Cat Sanctuary', 'Echo']","['Netty', 'Abby', 'Cobby', 'Kane', 'Jose', 'Abby', 'Cobby.Young Scotty', 'Chloe', 'Chloe', 'Chloe', 'Jose', 'Peter', 'Armoni', 'Ginger Mae', 'Scotty', 'Caesar', 'Scotty']"
2542,Frank Herbert,"With more than ten million copies sold, Frank Herbert's magnificent Dune books stand among the major achievements of the human imagination. In this, the fifth and most spectacular Dune book of all, the planet Arrakis--now called Rakis--is becoming desert again. The Lost Ones are returning home from the far reaches of space. The great sandworms are dying. And the children of Dune's children awaken from empire as from a dream, wielding the new power of a heresy called love...",3.85,Heretics of Dune,Science Fiction,"['Dune', 'Arrakis', 'Rakis', 'Lost Ones']",[],[],"['Frank Herbert', 'Dune']"
2559,Orson Scott Card,"The War is over, won by Ender Wiggin and his team of brilliant child-warriors. The enemy is destroyed, the human race is saved. Ender himself refuses to return to the planet, but his crew has gone home to their families, scattered across the globe. The battle school is no more.But with the external threat gone, the Earth has become a battlefield once more. The children of the Battle School are more than heroes; they are potential weapons that can bring power to the countries that control them. One by one, all of Ender's Dragon Army are kidnapped. Only Bean escapes; and he turns for help to Ender's brother Peter.Peter Wiggin, Ender's older brother, has already been manipulating the politics of Earth from behind the scenes. With Bean's help, he will eventually rule the world.",3.94,Shadow of the Hegemon,Science Fiction,['Earth'],['Earth'],"['Battle School', 'Dragon Army']","['Ender Wiggin', 'Ender', 'Ender', 'Bean', 'Ender', 'Peter.Peter Wiggin', 'Ender', 'Bean']"
2599,Blake Crouch,"“Are you happy with your life?” Those are the last words Jason Dessen hears before the masked abductor knocks him unconscious. Before he awakens to find himself strapped to a gurney, surrounded by strangers in hazmat suits. Before a man Jason’s never met smiles down at him and says, “Welcome back, my friend.” In this world he’s woken up to, Jason’s life is not the one he knows. His wife is not his wife. His son was never born. And Jason is not an ordinary college physics professor, but a celebrated genius who has achieved something remarkable. Something impossible.Is it this world or the other that’s the dream? And even if the home he remembers is real, how can Jason possibly make it back to the family he loves? The answers lie in a journey more wondrous and horrifying than anything he could’ve imagined—one that will force him to confront the darkest parts of himself even as he battles a terrifying, seemingly unbeatable foe.From the author of the bestselling Wayward Pines trilogy, Dark Matter is a brilliantly plotted tale that is at once sweeping and intimate, mind-bendingly strange and profoundly human—a relentlessly surprising science-fiction thriller about choices, paths not taken, and how far we’ll go to claim the lives we dream of.",4.1,Dark Matter,Science Fiction,"['Wayward Pines', 'Dark Matter']",[],[],"['Jason Dessen', 'Jason', 'Jason', 'Jason', 'Jason']"
2638,Iain M. Banks,"The war raged across the galaxy. Billions had died, billions more were doomed. Moons, planets, the very stars themselves, faced destruction, cold-blooded, brutal, and worse, random. The Idirans fought for their Faith; the Culture for its moral right to exist. Principles were at stake. There could be no surrender.Within the cosmic conflict, an individual crusade. Deep within a fabled labyrinth on a barren world, a Planet of the Dead proscribed to mortals, lay a fugitive Mind. Both the Culture and the Idirans sought it. It was the fate of Horza, the Changer, and his motley crew of unpredictable mercenaries, human and machine, actually to find it, and with it their own destruction.",3.85,Consider Phlebas,Science Fiction,"['Moons', 'Idirans', 'Faith', 'Planet of the Dead', 'Idirans', 'Changer']",[],[],['Horza']
